127.0.0.1 - - [21/Jul/2026 09:49:24] "HEAD / HTTP/1.1" 200 -
127.0.0.1 - - [21/Jul/2026 09:50:25] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [21/Jul/2026 09:50:25] "GET /images/guykoliko.png HTTP/1.1" 200 -
127.0.0.1 - - [21/Jul/2026 09:50:25] "GET /images/logo.png HTTP/1.1" 200 -
127.0.0.1 - - [21/Jul/2026 09:50:25] "GET /app.js HTTP/1.1" 200 -
127.0.0.1 - - [21/Jul/2026 09:50:25] "GET /loader.js HTTP/1.1" 200 -
127.0.0.1 - - [21/Jul/2026 09:50:25] "GET /styles.css HTTP/1.1" 200 -
127.0.0.1 - - [21/Jul/2026 09:50:25] "GET /data.json HTTP/1.1" 200 -
127.0.0.1 - - [21/Jul/2026 09:50:26] "GET /images/github.png HTTP/1.1" 200 -
127.0.0.1 - - [21/Jul/2026 09:50:26] "GET /images/linkedin.png HTTP/1.1" 200 -
127.0.0.1 - - [21/Jul/2026 09:50:26] "GET /images/buyme.gif HTTP/1.1" 200 -
127.0.0.1 - - [21/Jul/2026 09:50:26] "GET /images/gmail.png HTTP/1.1" 200 -
127.0.0.1 - - [21/Jul/2026 09:50:26] "GET /images/x.png HTTP/1.1" 200 -
127.0.0.1 - - [21/Jul/2026 09:50:26] "GET /images/project_255.png HTTP/1.1" 200 -
127.0.0.1 - - [21/Jul/2026 09:50:26] "GET /images/bitchat.png HTTP/1.1" 200 -
127.0.0.1 - - [21/Jul/2026 09:50:26] "GET /images/ant.png HTTP/1.1" 200 -
127.0.0.1 - - [21/Jul/2026 09:50:26] "GET /images/admin_page.png HTTP/1.1" 200 -
127.0.0.1 - - [21/Jul/2026 09:50:26] "GET /images/kolikodnsblock.png HTTP/1.1" 200 -
127.0.0.1 - - [21/Jul/2026 09:50:27] "GET /content/pyats-day-1.md HTTP/1.1" 200 -
127.0.0.1 - - [21/Jul/2026 09:50:28] "GET /blog.html?post=content/pyats-day-1.md HTTP/1.1" 200 -
